Talent Name	Wikipedia URL
Adam Shapiro	https://en.wikipedia.org/wiki/Adam_Shapiro_(actor)
Anthony Edwards	https://en.wikipedia.org/wiki/Anthony_Edwards_(basketball)
Anthony Edwards (Actor)	https://en.wikipedia.org/wiki/Anthony_Edwards_(actor)
Brendan Coyle	https://en.wikipedia.org/wiki/Brendan_Coyle
Guy Branum	https://en.wikipedia.org/wiki/Guy_Branum
James Scully	https://en.wikipedia.org/wiki/James_Scully_(actor)
Marcus Rutherford	https://en.wikipedia.org/wiki/Marcus_Rutherford
Michelle Williams	https://en.wikipedia.org/wiki/Michelle_Williams_(actress)
Peter Claffey	https://en.wikipedia.org/wiki/Peter_Claffey
Phil Davis	https://en.wikipedia.org/wiki/Phil_Davis_(actor)
Tamara Taylor	https://en.wikipedia.org/wiki/Tamara_Taylor
